file_name,altitude,time,surface,distance,run_start,heart_rate,landuse,width,path_index,latitude,speed,cadence,longitude,maxspeed
270.tcx,168.8000030517578,1.456653823e9,asphalt,2786.81005859375,592337,146,farmland,50,136,46.59058062359691,7.822999954223633,96,16.207110676914454,50
270.tcx,168.8000030517578,1.456653824e9,asphalt,2794.510009765625,592337,146,farmland,50,136,46.59062462858856,7.843999862670898,96,16.207033060491085,50
270.tcx,168.8000030517578,1.456653832e9,asphalt,2858.14990234375,592337,145,farmland,50,136,46.59098437987268,7.949999809265137,96,16.206386983394623,50
270.tcx,168.8000030517578,1.456653838e9,asphalt,2905.219970703125,592337,144,farmland,50,136,46.591252349317074,7.874000072479248,96,16.2059114780277,50
270.tcx,168.8000030517578,1.456653846e9,asphalt,2968.219970703125,592337,143,farmland,50,136,46.591611597687006,7.890999794006348,96,16.20527571067214,50
270.tcx,168.8000030517578,1.456653854e9,asphalt,3030.60009765625,592337,143,farmland,50,136,46.59196506254375,7.86299991607666,96,16.20464346371591,50
270.tcx,168.8000030517578,1.456653857e9,asphalt,3054.1298828125,592337,145,farmland,50,136,46.592098167166114,7.9070000648498535,96,16.204404663294554,50
270.tcx,168.8000030517578,1.456653865e9,asphalt,3117.800048828125,592337,144,farmland,50,136,46.592459259554744,7.986999988555908,96,16.2037599273026,50
270.tcx,168.8000030517578,1.456653873e9,asphalt,3182.18994140625,592337,146,farmland,50,136,46.59281968139112,8.185999870300293,96,16.20310219936073,50
270.tcx,168.8000030517578,1.456653875e9,asphalt,3198.6298828125,592337,146,farmland,50,136,46.59291196614504,8.163000106811523,96,16.202934561297297,50
270.tcx,168.8000030517578,1.456653878e9,asphalt,3222.949951171875,592337,146,farmland,50,136,46.5930503513664,8.154999732971191,96,16.202688636258245,50
270.tcx,168.8000030517578,1.456653886e9,asphalt,3286.8798828125,592337,148,farmland,50,136,46.593413623049855,7.985000133514404,96,16.20204188860953,50
270.tcx,168.8000030517578,1.456653891e9,asphalt,3326.43994140625,592337,145,farmland,50,136,46.59363616257906,7.945000171661377,96,16.201638970524073,50
270.tcx,168.8000030517578,1.456653893e9,asphalt,3342.469970703125,592337,145,farmland,50,136,46.59372618421912,7.964000225067139,96,16.201475523412228,50
270.tcx,168.8000030517578,1.456653901e9,asphalt,3406.429931640625,592337,145,farmland,50,136,46.59408727660775,8.230999946594238,96,16.2008258420974,50
270.tcx,168.8000030517578,1.456653908e9,asphalt,3465.429931640625,592337,145,farmland,50,136,46.59442280419171,8.503000259399414,96,16.20022921822965,70
